"","YEAR","bhatt","comparison"
"1",1990,0.187799542014218,"tannermatmale-snowmatfem"
"2",1991,0.151548297278948,"tannermatmale-snowmatfem"
"3",1992,0.171597250344687,"tannermatmale-snowmatfem"
"4",1993,0.133827401141573,"tannermatmale-snowmatfem"
"5",1994,0.0886182977808707,"tannermatmale-snowmatfem"
"6",1995,0.194366063252583,"tannermatmale-snowmatfem"
"7",1996,0.0830303298801347,"tannermatmale-snowmatfem"
"8",1997,0.0568095882814072,"tannermatmale-snowmatfem"
"9",1998,0.0379527144787517,"tannermatmale-snowmatfem"
"10",1999,0.0395345758949852,"tannermatmale-snowmatfem"
"11",2000,0.0194597676898489,"tannermatmale-snowmatfem"
"12",2001,0.0304474880559745,"tannermatmale-snowmatfem"
"13",2002,0.0429438307074703,"tannermatmale-snowmatfem"
"14",2003,0.0548754263747781,"tannermatmale-snowmatfem"
"15",2004,0.0564722191417069,"tannermatmale-snowmatfem"
"16",2005,0.0683463199550811,"tannermatmale-snowmatfem"
"17",2006,0.197890102356049,"tannermatmale-snowmatfem"
"18",2007,0.178836022874436,"tannermatmale-snowmatfem"
"19",2008,0.183081321392622,"tannermatmale-snowmatfem"
"20",2009,0.184699947071436,"tannermatmale-snowmatfem"
"21",2010,0.0787831101491066,"tannermatmale-snowmatfem"
"22",2011,NA,"tannermatmale-snowmatfem"
"23",2012,0.125684301839305,"tannermatmale-snowmatfem"
"24",2013,NA,"tannermatmale-snowmatfem"
"25",2014,0.193797404571798,"tannermatmale-snowmatfem"
"26",2015,NA,"tannermatmale-snowmatfem"
"27",2016,0.129291139492753,"tannermatmale-snowmatfem"
"28",2017,0.103516070009013,"tannermatmale-snowmatfem"
"29",2018,0.101818570791401,"tannermatmale-snowmatfem"
"30",2019,0.112307806192326,"tannermatmale-snowmatfem"
"31",2021,0.0400684265455938,"tannermatmale-snowmatfem"
"32",2022,0.0298751282460161,"tannermatmale-snowmatfem"
"33",2023,0.0475439761547606,"tannermatmale-snowmatfem"
"34",2024,0.167766324509583,"tannermatmale-snowmatfem"
"35",2025,0.326046944172251,"tannermatmale-snowmatfem"
"36",2020,NA,"tannermatmale-snowmatfem"
"37",1988,0.160591625748556,"tannerlgmale-snowmatfem"
"38",1989,0.0921258843099285,"tannerlgmale-snowmatfem"
"39",1990,0.144433473965248,"tannerlgmale-snowmatfem"
"40",1991,0.156434018642822,"tannerlgmale-snowmatfem"
"41",1992,0.161119996002986,"tannerlgmale-snowmatfem"
"42",1993,0.120480165732732,"tannerlgmale-snowmatfem"
"43",1994,0.0970610398177999,"tannerlgmale-snowmatfem"
"44",1995,0.179194473163149,"tannerlgmale-snowmatfem"
"45",1996,0.0930388511140299,"tannerlgmale-snowmatfem"
"46",1997,0.11234124684672,"tannerlgmale-snowmatfem"
"47",1998,0.117604744354309,"tannerlgmale-snowmatfem"
"48",1999,0.050909861714979,"tannerlgmale-snowmatfem"
"49",2000,0.052810375743217,"tannerlgmale-snowmatfem"
"50",2001,0.0323087695683872,"tannerlgmale-snowmatfem"
"51",2002,0.067393449409618,"tannerlgmale-snowmatfem"
"52",2003,0.0305439595517915,"tannerlgmale-snowmatfem"
"53",2004,0.034138338775,"tannerlgmale-snowmatfem"
"54",2005,0.0439778075914539,"tannerlgmale-snowmatfem"
"55",2006,0.122207695765679,"tannerlgmale-snowmatfem"
"56",2007,0.131218401355791,"tannerlgmale-snowmatfem"
"57",2008,0.196410228658987,"tannerlgmale-snowmatfem"
"58",2009,0.230431640740566,"tannerlgmale-snowmatfem"
"59",2010,0.0728591132226208,"tannerlgmale-snowmatfem"
"60",2011,0.107809211998359,"tannerlgmale-snowmatfem"
"61",2012,0.152895548615365,"tannerlgmale-snowmatfem"
"62",2013,0.122746431696081,"tannerlgmale-snowmatfem"
"63",2014,0.217230348682575,"tannerlgmale-snowmatfem"
"64",2015,0.212172599348491,"tannerlgmale-snowmatfem"
"65",2016,0.188098531987556,"tannerlgmale-snowmatfem"
"66",2017,0.0946786438595933,"tannerlgmale-snowmatfem"
"67",2018,0.0773139260389598,"tannerlgmale-snowmatfem"
"68",2019,0.0800021146835043,"tannerlgmale-snowmatfem"
"69",2021,0.0641963621833996,"tannerlgmale-snowmatfem"
"70",2022,0.0338587126979493,"tannerlgmale-snowmatfem"
"71",2023,0.0446681096966971,"tannerlgmale-snowmatfem"
"72",2024,0.154153577164805,"tannerlgmale-snowmatfem"
"73",2025,0.321751387574023,"tannerlgmale-snowmatfem"
"74",2020,NA,"tannerlgmale-snowmatfem"
