"","YEAR","bhatt"
"1",1990,0.187799542014218
"2",1991,0.151548297278948
"3",1992,0.171597250344687
"4",1993,0.133827401141573
"5",1994,0.0886182977808707
"6",1995,0.194366063252583
"7",1996,0.0830303298801347
"8",1997,0.0568095882814072
"9",1998,0.0379527144787517
"10",1999,0.0395345758949852
"11",2000,0.0194597676898489
"12",2001,0.0304474880559745
"13",2002,0.0429438307074703
"14",2003,0.0548754263747781
"15",2004,0.0564722191417069
"16",2005,0.0683463199550811
"17",2006,0.197890102356049
"18",2007,0.178836022874436
"19",2008,0.183081321392622
"20",2009,0.184699947071436
"21",2010,0.0787831101491066
"22",2011,NA
"23",2012,0.125684301839305
"24",2013,NA
"25",2014,0.193797404571798
"26",2015,NA
"27",2016,0.129291139492753
"28",2017,0.103516070009013
"29",2018,0.101818570791401
"30",2019,0.112307806192326
"31",2021,0.0400684265455938
"32",2022,0.0298751282460161
"33",2023,0.0475439761547606
"34",2024,0.167766324509583
"35",2025,0.326046944172251
"36",2020,NA
