"","YEAR","bhatt","comparison"
"1",1989,0.130493915939694,"snowmatmale-tannermatfem"
"2",1990,0.159234207880129,"snowmatmale-tannermatfem"
"3",1991,0.183055587258623,"snowmatmale-tannermatfem"
"4",1992,0.152598729915218,"snowmatmale-tannermatfem"
"5",1993,0.141443956514854,"snowmatmale-tannermatfem"
"6",1994,0.0490110904651296,"snowmatmale-tannermatfem"
"7",1995,0.0902566982340224,"snowmatmale-tannermatfem"
"8",1996,0.126469790906725,"snowmatmale-tannermatfem"
"9",1997,0.211779471967244,"snowmatmale-tannermatfem"
"10",1998,0.192457172778748,"snowmatmale-tannermatfem"
"11",1999,0.107835609771216,"snowmatmale-tannermatfem"
"12",2000,0.110751665764279,"snowmatmale-tannermatfem"
"13",2001,0.0690737330382941,"snowmatmale-tannermatfem"
"14",2002,0.0875946400498611,"snowmatmale-tannermatfem"
"15",2003,0.0722647216206243,"snowmatmale-tannermatfem"
"16",2004,0.092923723591206,"snowmatmale-tannermatfem"
"17",2005,0.188141720748094,"snowmatmale-tannermatfem"
"18",2006,0.191161152807724,"snowmatmale-tannermatfem"
"19",2007,0.317385770009874,"snowmatmale-tannermatfem"
"20",2008,NA,"snowmatmale-tannermatfem"
"21",2009,0.229151643851613,"snowmatmale-tannermatfem"
"22",2010,0.185753308799605,"snowmatmale-tannermatfem"
"23",2011,0.205014694832352,"snowmatmale-tannermatfem"
"24",2012,NA,"snowmatmale-tannermatfem"
"25",2013,0.34836628971252,"snowmatmale-tannermatfem"
"26",2014,NA,"snowmatmale-tannermatfem"
"27",2015,0.120690450523816,"snowmatmale-tannermatfem"
"28",2016,NA,"snowmatmale-tannermatfem"
"29",2017,0.0463021135184392,"snowmatmale-tannermatfem"
"30",2018,0.0693033612223862,"snowmatmale-tannermatfem"
"31",2019,0.104904243746564,"snowmatmale-tannermatfem"
"32",2021,0.131876913179185,"snowmatmale-tannermatfem"
"33",2022,0.0585111852898129,"snowmatmale-tannermatfem"
"34",2023,0.195043476776381,"snowmatmale-tannermatfem"
"35",2024,0.163633083898176,"snowmatmale-tannermatfem"
"36",2025,0.268777986756482,"snowmatmale-tannermatfem"
"37",2020,NA,"snowmatmale-tannermatfem"
"38",1988,0.245963510338403,"snowlgmale-tannermatfem"
"39",1989,0.264861903942137,"snowlgmale-tannermatfem"
"40",1990,0.174088627970511,"snowlgmale-tannermatfem"
"41",1991,0.267806586324395,"snowlgmale-tannermatfem"
"42",1992,0.339648673959961,"snowlgmale-tannermatfem"
"43",1993,0.267189181619127,"snowlgmale-tannermatfem"
"44",1994,0.226845748042843,"snowlgmale-tannermatfem"
"45",1995,0.192914523669732,"snowlgmale-tannermatfem"
"46",1996,0.157111021443679,"snowlgmale-tannermatfem"
"47",1997,0.272898468444012,"snowlgmale-tannermatfem"
"48",1998,0.263721232027809,"snowlgmale-tannermatfem"
"49",1999,0.318035102817798,"snowlgmale-tannermatfem"
"50",2000,0.308468436480563,"snowlgmale-tannermatfem"
"51",2001,0.33805479402883,"snowlgmale-tannermatfem"
"52",2002,0.208464514934039,"snowlgmale-tannermatfem"
"53",2003,0.19315578465373,"snowlgmale-tannermatfem"
"54",2004,0.226355662866983,"snowlgmale-tannermatfem"
"55",2005,0.347140656398302,"snowlgmale-tannermatfem"
"56",2006,0.262723460287668,"snowlgmale-tannermatfem"
"57",2007,0.390824923087263,"snowlgmale-tannermatfem"
"58",2008,0.325680505350048,"snowlgmale-tannermatfem"
"59",2009,0.341376841816629,"snowlgmale-tannermatfem"
"60",2010,0.314533732685917,"snowlgmale-tannermatfem"
"61",2011,0.4565110791704,"snowlgmale-tannermatfem"
"62",2012,0.405183977191364,"snowlgmale-tannermatfem"
"63",2013,0.46193349533721,"snowlgmale-tannermatfem"
"64",2014,0.394760467115163,"snowlgmale-tannermatfem"
"65",2015,0.290195853891835,"snowlgmale-tannermatfem"
"66",2016,0.329948550128575,"snowlgmale-tannermatfem"
"67",2017,0.230538564456903,"snowlgmale-tannermatfem"
"68",2018,0.233849358672748,"snowlgmale-tannermatfem"
"69",2019,0.160981220841932,"snowlgmale-tannermatfem"
"70",2021,0.296723250581628,"snowlgmale-tannermatfem"
"71",2022,0.238452601301059,"snowlgmale-tannermatfem"
"72",2023,0.354936165245997,"snowlgmale-tannermatfem"
"73",2024,0.337258276312517,"snowlgmale-tannermatfem"
"74",2025,0.377293958195998,"snowlgmale-tannermatfem"
"75",2020,NA,"snowlgmale-tannermatfem"
"76",1990,0.187799542014218,"tannermatmale-snowmatfem"
"77",1991,0.151548297278948,"tannermatmale-snowmatfem"
