"","SPECIES","YEAR","REGION","DISTRICT","TOTAL_AREA","CATEGORY","ABUNDANCE","ABUNDANCE_CV","ABUNDANCE_CI","BIOMASS_MT","BIOMASS_MT_CV","BIOMASS_MT_CI","BIOMASS_LBS","BIOMASS_LBS_CV","BIOMASS_LBS_CI"
"1","SNOW",1980,"EBS","ALL",128721,"immature_female",898547426.173493,0.211129639695756,371831588.901615,27574.8475304235,0.188047783960083,10163.3623834213,60792132.6596032,0.188047783960083,22406378.6245377
"2","SNOW",1980,"EBS","ALL",128721,"large_male",194807158.638609,0.170334515031588,65037470.4671224,99240.1465592211,0.159049132908569,30936.7561495283,218787072.100049,0.159049132908569,68203872.4538701
"3","SNOW",1980,"EBS","ALL",128721,"mature_female",4830338598.18264,0.340065767089668,3219560289.35987,271682.312848396,0.326985433409567,174118.871280235,598956972.861776,0.326985433409567,383866402.515185
"4","SNOW",1980,"EBS","ALL",128721,"small_male",2567047139.1416,0.155350090644578,781630371.27892,236813.969211257,0.148591839969294,68969.7018944436,522085433.692942,0.148591839969294,152052165.018659
"5","SNOW",1981,"EBS","ALL",119097,"immature_female",233325147.266835,0.26987375641831,123417934.561122,10988.0488194751,0.263538700986621,5675.72118003359,24224500.9973938,0.263538700986621,12512823.3088084
"6","SNOW",1981,"EBS","ALL",119097,"large_male",79791045.8583138,0.112949515489877,17664225.5414492,38042.2235161611,0.108116127785507,8061.43668187942,83868746.5491571,0.108116127785507,17772425.6734731
"7","SNOW",1981,"EBS","ALL",119097,"mature_female",2047836164.18968,0.177863456892936,713901029.853764,118844.755225914,0.173450331591651,40402.7779156524,262007835.859134,0.173450331591651,89072878.1783805
"8","SNOW",1981,"EBS","ALL",119097,"small_male",1575406457.96069,0.169656040154136,523863353.730094,166540.095432307,0.129263709346473,42194.0773613716,367158061.834923,0.129263709346473,93022017.4589181
"9","SNOW",1982,"EBS","ALL",132330,"immature_female",79852731.0889132,0.28453671913484,44533226.8712722,3653.69054823111,0.284410115102717,2036.72723676936,8055008.83586545,0.284410115102717,4490214.94071732
"10","SNOW",1982,"EBS","ALL",132330,"large_male",145270336.922022,0.154356876163389,43950011.7967133,65863.5217597976,0.150510984061397,19429.8396086801,145204210.02628,0.150510984061397,42835463.94019
"11","SNOW",1982,"EBS","ALL",132330,"mature_female",2317236981.57415,0.169711029746126,770790921.645157,141492.000713347,0.158453362565569,43942.9712467531,311936465.583291,0.158453362565569,96877668.4818433
"12","SNOW",1982,"EBS","ALL",132330,"small_male",1778983434.91188,0.129501623287151,451547235.539198,250474.588851594,0.123560144673912,60659.4058138575,552201944.780502,0.123560144673912,133731098.285137
"13","SNOW",1983,"EBS","ALL",131528,"immature_female",240477606.495915,0.668737317530652,315200045.008769,3622.27691297099,0.380928436236646,2704.46342894533,7985753.62493649,0.380928436236646,5962321.25541564
"14","SNOW",1983,"EBS","ALL",131528,"large_male",150305795.451205,0.139824996886148,41192354.466632,68047.3199027656,0.138467083496947,18467.7352963706,150018660.813819,0.138467083496947,40714387.0086943
"15","SNOW",1983,"EBS","ALL",131528,"mature_female",1466001017.3901,0.212633602986951,610973313.487977,82182.1314580155,0.202513111697348,32620.1999682671,181180586.124093,0.202513111697348,71915230.7792732
"16","SNOW",1983,"EBS","ALL",131528,"small_male",1485994316.54838,0.183256227928593,533742717.821006,184837.066899496,0.117913607815355,42717.8186156102,407495979.042809,0.117913607815355,94176669.2760082
"17","SNOW",1984,"EBS","ALL",132330,"immature_female",551857397.494181,0.331594926420121,358666501.708306,14118.6312219336,0.346356117551217,9584.54561852599,31126253.7814156,0.346356117551217,21130306.0907442
"18","SNOW",1984,"EBS","ALL",132330,"large_male",237627512.828256,0.134765264180498,62766911.7039951,119971.069361754,0.138396266787166,32542.9543193765,264490933.482314,0.138396266787166,71744933.2742895
"19","SNOW",1984,"EBS","ALL",132330,"mature_female",670017943.514585,0.20851008887789,273822781.865934,39368.6378866757,0.199801561612919,15417.1940435294,86792989.6763389,0.199801561612919,33989094.7537975
"20","SNOW",1984,"EBS","ALL",132330,"small_male",1223644321.68996,0.226060907183715,542171565.045613,119438.227102463,0.127778332089128,29912.770195797,263316217.383604,0.127778332089128,65946369.8558186
"21","SNOW",1985,"EBS","ALL",131528,"immature_female",213006037.210637,0.259023424761597,108140164.376263,5363.84037807029,0.259475641596221,2727.90041009824,11825243.8374798,0.259475641596221,6013990.95425319
"22","SNOW",1985,"EBS","ALL",131528,"large_male",105898640.197471,0.112462124981716,23342788.7741924,55690.9541831477,0.112000670647549,12225.3514663284,122777537.424512,0.112000670647549,26952286.4027199
"23","SNOW",1985,"EBS","ALL",131528,"mature_female",103423988.98932,0.220319955273452,44661282.5115247,5889.13821299534,0.215444708660892,2486.81598646251,12983327.3275637,0.215444708660892,5482490.78013049
"24","SNOW",1985,"EBS","ALL",131528,"small_male",444588146.195009,0.155709779380776,135684375.432293,44214.2591540223,0.126897130738726,10996.8987437924,97475755.9392429,0.126897130738726,24244011.7407454
"25","SNOW",1986,"EBS","ALL",131528,"immature_female",842125457.835706,0.297450032523721,490960879.851677,26043.4015669112,0.285121387674545,14554.0403572654,57415872.244305,0.285121387674545,32086166.6109277
"26","SNOW",1986,"EBS","ALL",131528,"large_male",110574369.91626,0.124758583978488,27038399.5575297,58724.9808111483,0.125577424231318,14454.0823834632,129466421.163894,0.125577424231318,31865797.0006493
"27","SNOW",1986,"EBS","ALL",131528,"mature_female",267415127.148532,0.210799613216161,110487170.52728,15173.9557834732,0.208775452376609,6209.18098675307,33452846.1831785,0.208775452376609,13688900.8665493
"28","SNOW",1986,"EBS","ALL",131528,"small_male",1143066051.31426,0.22308076329606,499792252.560997,83407.6790385544,0.146087458005368,23882.2389853852,183882456.044301,0.146087458005368,52651324.3275795
"29","SNOW",1987,"EBS","ALL",135137,"immature_female",2955461594.04076,0.209916542838152,1215984549.41146,107988.566497375,0.191366689509246,40504.2123718851,238074036.601135,0.191366689509246,89296502.875226
"30","SNOW",1987,"EBS","ALL",135137,"large_male",215722534.807808,0.115526419620663,48846438.0725663,107535.846557068,0.113400207084135,23901.391046337,237075959.979373,0.113400207084135,52693547.394409
"31","SNOW",1987,"EBS","ALL",135137,"mature_female",2040222657.06224,0.192062371421498,768026003.416759,119551.20143744,0.188936091535149,44271.5720063256,263565283.158183,0.188936091535149,97602109.1499535
"32","SNOW",1987,"EBS","ALL",135137,"small_male",3758580280.97656,0.190524619416468,1403560072.05542,266341.668846059,0.119324975671245,62291.1777843779,587182868.278984,0.119324975671245,137328539.685045
"33","SNOW",1988,"EBS","ALL",140350,"immature_female",1045774453.31791,0.225040330573476,461269200.212717,36802.5509667985,0.200520436233832,14464.1406057853,81135736.4031474,0.200520436233832,31887971.5851161
"34","SNOW",1988,"EBS","ALL",140350,"large_male",276915042.506261,0.174579444327118,94753601.5232639,144135.260701144,0.191117192651252,53991.5837190275,317763856.347815,0.191117192651252,119031066.856411
"35","SNOW",1988,"EBS","ALL",140350,"mature_female",2795615538.41162,0.178017729001325,975431493.445353,165618.574549038,0.176562445268525,57314.3601883606,365126456.049161,0.176562445268525,126356535.02805
"36","SNOW",1988,"EBS","ALL",140350,"small_male",3677862138.04724,0.137575953805696,991731367.551105,331332.276218421,0.119281100891912,77462.4901899782,730462631.499786,0.119281100891912,170775558.217567
"37","SNOW",1989,"EBS","ALL",140350,"immature_female",564736098.155746,0.236808678405976,262119441.742723,23265.1100096978,0.251214347139981,11455.2776675631,51290787.8271808,0.251214347139981,25254564.285469
"38","SNOW",1989,"EBS","ALL",140350,"large_male",292347493.2633,0.105784054631004,60614378.2692601,143215.894884755,0.104292553608378,29275.2487338866,315737001.671251,0.104292553608378,64540875.6189769
"39","SNOW",1989,"EBS","ALL",140350,"mature_female",4625911104.6775,0.376954799952785,3417768414.32363,256727.533751669,0.324162566521812,163114.054226002,565987328.560381,0.324162566521812,359604933.888116
"40","SNOW",1989,"EBS","ALL",140350,"small_male",3110966324.90522,0.113403068779144,691474531.101141,372788.451878346,0.109553697560684,80047.0924899441,821857854.174995,0.109553697560684,176473630.916554
"41","SNOW",1990,"EBS","ALL",140350,"immature_female",1043885049.06436,0.379333993042134,776122924.519595,38212.5735452467,0.430771788511243,32263.3613534186,84244304.076912,0.430771788511243,71128536.2966289
"42","SNOW",1990,"EBS","ALL",140350,"large_male",710409489.311298,0.153672740663373,213974323.502839,347749.634151723,0.149898256072255,102169.044869852,766656710.190534,0.149898256072255,225244187.572761
"43","SNOW",1990,"EBS","ALL",140350,"mature_female",3008694645.13853,0.23617231996618,1392717973.04789,174941.84588605,0.210417837422485,72149.3343766388,385680750.948372,0.210417837422485,159062054.718071
"44","SNOW",1990,"EBS","ALL",140350,"small_male",2263916552.36173,0.131325770983285,582728749.89422,306732.627192858,0.109790482565197,66005.5933896695,676229688.768489,0.109790482565197,145517424.355419
"45","SNOW",1991,"EBS","ALL",140350,"immature_female",2270747748.87876,0.175463377576679,780928816.500097,68924.8826532819,0.186735204949538,25226.5760932316,151953355.505699,0.186735204949538,55615080.3269285
"46","SNOW",1991,"EBS","ALL",140350,"large_male",618332094.417567,0.148003781055746,179370356.32696,347976.367553138,0.155016914714742,105726.756867792,767156571.776421,0.155016914714742,233087599.925442
"47","SNOW",1991,"EBS","ALL",140350,"mature_female",3545372679.94195,0.277853727787888,1930786230.41764,199019.575176495,0.242710432754576,94676.0893467293,438763057.624839,0.242710432754576,208725048.321978
"48","SNOW",1991,"EBS","ALL",140350,"small_male",3331816776.65475,0.183308549194032,1197070979.03748,293255.377894676,0.172335480353793,99055.0805749917,646517440.08542,0.172335480353793,218379071.444682
"49","SNOW",1992,"EBS","ALL",133132,"immature_female",1862158875.9823,0.169026083657539,616916707.032609,49374.3894712308,0.168917848158934,16346.8226223372,108851895.968249,0.168917848158934,36038574.9485544
"50","SNOW",1992,"EBS","ALL",133132,"large_male",293232413.268585,0.109049915932758,62674861.2307703,166483.007060436,0.110208333759716,35961.7170225779,367032203.518851,0.110208333759716,79282014.8685002
"51","SNOW",1992,"EBS","ALL",133132,"mature_female",2068884684.04106,0.209366298947514,848983269.323873,123479.179063344,0.201645069978923,48801.9766982091,272224991.490367,0.201645069978923,107589941.81981
"52","SNOW",1992,"EBS","ALL",133132,"small_male",2776161438.39422,0.230271410937829,1252970398.36405,179620.708782626,0.148512267351159,52284.7223000787,395995877.934693,0.148512267351159,115268081.559836
"53","SNOW",1993,"EBS","ALL",140350,"immature_female",2909240794.14152,0.197868604492111,1128268935.49388,74920.8059594847,0.225216681525539,33071.8939790113,165172103.665424,0.225216681525539,72911045.6135135
"54","SNOW",1993,"EBS","ALL",140350,"large_male",182822685.503188,0.116935217551762,41901684.5853169,98857.4189889714,0.114810866161027,22245.8155651121,217943302.240672,0.114810866161027,49043628.2363223
