"","SPECIES","YEAR","REGION","DISTRICT","TOTAL_AREA","CATEGORY","SEX_TEXT","ABUNDANCE","ABUNDANCE_CV","ABUNDANCE_CI","BIOMASS_MT","BIOMASS_MT_CV","BIOMASS_MT_CI","BIOMASS_LBS","BIOMASS_LBS_CV","BIOMASS_LBS_CI"
"1","SNOW",1980,"EBS","ALL",128721,"immature_female","female",898.547426173493,0.211129639695756,371.831588901615,27574.8475304235,0.188047783960083,10163.3623834213,60792132.6596032,0.188047783960083,22406378.6245377
"2","SNOW",1980,"EBS","ALL",128721,"mature_female","female",4830.33859818263,0.340065767089668,3219.56028935987,271682.312848396,0.326985433409567,174118.871280235,598956972.861776,0.326985433409567,383866402.515185
"3","SNOW",1981,"EBS","ALL",119097,"immature_female","female",233.325147266835,0.26987375641831,123.417934561122,10988.0488194751,0.263538700986621,5675.72118003359,24224500.9973938,0.263538700986621,12512823.3088084
"4","SNOW",1981,"EBS","ALL",119097,"mature_female","female",2047.83616418968,0.177863456892936,713.901029853764,118844.755225914,0.173450331591651,40402.7779156524,262007835.859134,0.173450331591651,89072878.1783805
"5","SNOW",1982,"EBS","ALL",132330,"immature_female","female",79.8527310889132,0.28453671913484,44.5332268712722,3653.69054823111,0.284410115102717,2036.72723676936,8055008.83586545,0.284410115102717,4490214.94071732
"6","SNOW",1982,"EBS","ALL",132330,"mature_female","female",2317.23698157415,0.169711029746126,770.790921645156,141492.000713347,0.158453362565569,43942.9712467531,311936465.583291,0.158453362565569,96877668.4818433
"7","SNOW",1983,"EBS","ALL",131528,"immature_female","female",240.477606495915,0.668737317530652,315.200045008769,3622.27691297099,0.380928436236646,2704.46342894533,7985753.62493649,0.380928436236646,5962321.25541564
"8","SNOW",1983,"EBS","ALL",131528,"mature_female","female",1466.0010173901,0.212633602986951,610.973313487977,82182.1314580155,0.202513111697348,32620.1999682671,181180586.124093,0.202513111697348,71915230.7792732
"9","SNOW",1984,"EBS","ALL",132330,"immature_female","female",551.857397494181,0.331594926420121,358.666501708306,14118.6312219336,0.346356117551217,9584.54561852599,31126253.7814156,0.346356117551217,21130306.0907442
"10","SNOW",1984,"EBS","ALL",132330,"mature_female","female",670.017943514585,0.20851008887789,273.822781865934,39368.6378866757,0.199801561612919,15417.1940435294,86792989.6763389,0.199801561612919,33989094.7537975
"11","SNOW",1985,"EBS","ALL",131528,"immature_female","female",213.006037210637,0.259023424761597,108.140164376263,5363.84037807029,0.259475641596221,2727.90041009824,11825243.8374798,0.259475641596221,6013990.95425319
"12","SNOW",1985,"EBS","ALL",131528,"mature_female","female",103.42398898932,0.220319955273452,44.6612825115247,5889.13821299534,0.215444708660892,2486.81598646251,12983327.3275637,0.215444708660892,5482490.78013049
"13","SNOW",1986,"EBS","ALL",131528,"immature_female","female",842.125457835706,0.297450032523721,490.960879851677,26043.4015669112,0.285121387674545,14554.0403572654,57415872.244305,0.285121387674545,32086166.6109277
"14","SNOW",1986,"EBS","ALL",131528,"mature_female","female",267.415127148532,0.210799613216161,110.48717052728,15173.9557834732,0.208775452376609,6209.18098675307,33452846.1831785,0.208775452376609,13688900.8665493
"15","SNOW",1987,"EBS","ALL",135137,"immature_female","female",2955.46159404076,0.209916542838152,1215.98454941146,107988.566497375,0.191366689509246,40504.2123718851,238074036.601135,0.191366689509246,89296502.875226
"16","SNOW",1987,"EBS","ALL",135137,"mature_female","female",2040.22265706224,0.192062371421498,768.026003416759,119551.20143744,0.188936091535149,44271.5720063256,263565283.158183,0.188936091535149,97602109.1499535
"17","SNOW",1988,"EBS","ALL",140350,"immature_female","female",1045.77445331791,0.225040330573476,461.269200212717,36802.5509667985,0.200520436233832,14464.1406057853,81135736.4031474,0.200520436233832,31887971.5851161
"18","SNOW",1988,"EBS","ALL",140350,"mature_female","female",2795.61553841162,0.178017729001325,975.431493445353,165618.574549038,0.176562445268525,57314.3601883606,365126456.049161,0.176562445268525,126356535.02805
"19","SNOW",1989,"EBS","ALL",140350,"immature_female","female",564.736098155745,0.236808678405976,262.119441742723,23265.1100096978,0.251214347139981,11455.2776675631,51290787.8271808,0.251214347139981,25254564.285469
"20","SNOW",1989,"EBS","ALL",140350,"mature_female","female",4625.9111046775,0.376954799952785,3417.76841432363,256727.533751669,0.324162566521812,163114.054226002,565987328.560381,0.324162566521812,359604933.888116
"21","SNOW",1990,"EBS","ALL",140350,"immature_female","female",1043.88504906436,0.379333993042134,776.122924519595,38212.5735452467,0.430771788511243,32263.3613534186,84244304.076912,0.430771788511243,71128536.2966289
"22","SNOW",1990,"EBS","ALL",140350,"mature_female","female",3008.69464513853,0.23617231996618,1392.71797304789,174941.84588605,0.210417837422485,72149.3343766388,385680750.948372,0.210417837422485,159062054.718071
"23","SNOW",1991,"EBS","ALL",140350,"immature_female","female",2270.74774887876,0.175463377576679,780.928816500097,68924.8826532819,0.186735204949538,25226.5760932316,151953355.505699,0.186735204949538,55615080.3269285
"24","SNOW",1991,"EBS","ALL",140350,"mature_female","female",3545.37267994195,0.277853727787888,1930.78623041764,199019.575176495,0.242710432754576,94676.0893467293,438763057.624839,0.242710432754576,208725048.321978
"25","SNOW",1992,"EBS","ALL",133132,"immature_female","female",1862.1588759823,0.169026083657539,616.916707032609,49374.3894712308,0.168917848158934,16346.8226223372,108851895.968249,0.168917848158934,36038574.9485544
"26","SNOW",1992,"EBS","ALL",133132,"mature_female","female",2068.88468404106,0.209366298947514,848.983269323873,123479.179063344,0.201645069978923,48801.9766982091,272224991.490367,0.201645069978923,107589941.81981
"27","SNOW",1993,"EBS","ALL",140350,"immature_female","female",2909.24079414152,0.197868604492111,1128.26893549388,74920.8059594847,0.225216681525539,33071.8939790113,165172103.665424,0.225216681525539,72911045.6135135
"28","SNOW",1993,"EBS","ALL",140350,"mature_female","female",2396.29197468998,0.174196044263976,818.152182469312,127080.564677938,0.166262690396058,41412.3628975925,280164687.686303,0.166262690396058,91298632.0682442
"29","SNOW",1994,"EBS","ALL",140350,"immature_female","female",2684.16621778509,0.244628662648637,1286.98302467949,68240.3263996361,0.205969936851126,27548.6932096972,150444167.302984,0.205969936851126,60734472.2524709
"30","SNOW",1994,"EBS","ALL",140350,"mature_female","female",2204.80220875643,0.127825659967172,552.387382965484,122603.95733716,0.140025005609801,33648.5348352824,270295457.873688,0.140025005609801,74182321.0899309
"31","SNOW",1995,"EBS","ALL",140350,"immature_female","female",1021.68102514808,0.217871310392038,436.286168153318,31018.753975033,0.197063705331792,11980.8343624667,68384646.7149202,0.197063705331792,26413218.4641176
"32","SNOW",1995,"EBS","ALL",140350,"mature_female","female",3109.07350971787,0.135528676221428,825.882489412458,164958.521831314,0.13621072499988,44039.4749129615,363671288.896053,0.13621072499988,97090422.6474577
"33","SNOW",1996,"EBS","ALL",140350,"immature_female","female",258.410971473643,0.36895119775772,186.868433380315,9273.93296775183,0.354533858564545,6444.32954868697,20445522.4142151,0.354533858564546,14207314.705684
"34","SNOW",1996,"EBS","ALL",140350,"mature_female","female",2107.16563083695,0.1647479242199,680.41628078909,104429.105530683,0.151494117623505,31007.9745853023,230226768.43238,0.151494117623505,68360882.22847
"35","SNOW",1997,"EBS","ALL",140350,"immature_female","female",142.858640944097,0.478357118351613,133.941397714746,5452.24699194316,0.483534107200436,5167.24086771157,12020147.058345,0.483534107200436,11391816.1094985
