"","YEAR","mean_lat","mean_lon","sum_CPUE","chk_lat","chk_lon","mean_weighted_lat","mean_weighted_lon","shrt"
"1",1989,58.286834463807,-168.786808217158,22832369.5078538,59.4296872311144,-172.969383744854,59.4296872311144,-172.969383744854,"'89"
"2",1990,58.2639402567568,-168.749652459459,18616509.4668237,59.3650153259181,-172.440916202036,59.3650153259181,-172.440916202036,"'90"
"3",1991,58.2774584636119,-168.756688396226,26067696.8434676,59.3387227710883,-172.158857401391,59.3387227710883,-172.158857401391,"'91"
"4",1992,58.2073368591549,-168.79645228169,18413249.0252647,59.4148509164752,-171.681487519881,59.4148509164752,-171.681487519881,"'92"
"5",1993,58.2746806550802,-168.767192459893,26840695.4767682,60.256176117648,-172.517224609062,60.256176117648,-172.517224609062,"'93"
"6",1994,58.2641603475936,-168.760030748663,24062011.4288441,60.1410760966128,-172.065928168298,60.1410760966128,-172.065928168298,"'94"
"7",1995,58.27071572,-168.77027968,21275807.2522137,59.7274342556769,-172.46557459919,59.7274342556769,-172.46557459919,"'95"
"8",1996,58.2658628609626,-168.757841911765,13526731.1236079,59.5774417381954,-172.849566232709,59.5774417381954,-172.849566232709,"'96"
"9",1997,58.27091548,-168.7720358,10299473.4457923,59.5657062793344,-172.978747985653,59.5657062793344,-172.978747985653,"'97"
"10",1998,58.2731697860963,-168.766534438503,7310341.05216979,59.717459334119,-172.965979650327,59.717459334119,-172.965979650327,"'98"
"11",1999,58.267331922043,-168.813346505376,3358460.52591974,59.7072146314998,-172.571069137634,59.7072146314998,-172.571069137634,"'99"
"12",2000,58.2749338544474,-168.811482142857,7874709.71438792,59.7597087718969,-172.795465815754,59.7597087718969,-172.795465815754,"'00"
"13",2001,58.2653518181818,-168.773425548128,9063509.68873543,60.4389743091187,-173.781317848166,60.4389743091187,-173.781317848166,"'01"
"14",2002,58.2766327540107,-168.777437887701,3530381.93102565,59.8962106720623,-173.111903772346,59.8962106720623,-173.111903772346,"'02"
"15",2003,58.2716271066667,-168.7709944,6114688.06657881,60.312903818586,-173.134394280543,60.312903818586,-173.134394280543,"'03"
"16",2004,58.2728029946524,-168.761485695187,11815587.8246928,59.5087707382246,-172.100969028908,59.5087707382246,-172.100969028908,"'04"
"17",2005,58.2731328897849,-168.743931599462,13293705.4808729,59.6765469544587,-172.424559820983,59.6765469544587,-172.424559820983,"'05"
"18",2006,58.2703007733333,-168.769517933333,8250427.61961131,59.4471861601136,-171.79842021348,59.4471861601136,-171.79842021348,"'06"
"19",2007,58.2712251466667,-168.771740813333,7895969.10681785,59.4701244212663,-171.58286814559,59.4701244212663,-171.58286814559,"'07"
"20",2008,58.2691454946524,-168.785795494652,6310054.66043221,59.5188256349254,-171.988962384272,59.5188256349254,-171.988962384272,"'08"
"21",2009,58.2719318133333,-168.772940826667,8148522.21597331,59.9460074009508,-172.447561668187,59.9460074009508,-172.447561668187,"'09"
"22",2010,58.2704398533333,-168.76968412,19441143.8870543,60.6485408106529,-173.887117927481,60.6485408106529,-173.887117927481,"'10"
"23",2011,58.2717345733333,-168.769605373333,16608933.9223822,60.1364867093203,-174.228273248337,60.1364867093203,-174.228273248337,"'11"
"24",2012,58.2708513466667,-168.769847466667,14235471.0886205,59.5569346434937,-173.062262922254,59.5569346434937,-173.062262922254,"'12"
"25",2013,58.2709860666667,-168.769282146667,12206795.0628202,59.3115840050898,-172.703175771954,59.3115840050898,-172.703175771954,"'13"
"26",2014,58.2704812,-168.76804904,13991225.3609883,58.7454914935639,-171.258309446453,58.7454914935639,-171.258309446453,"'14"
"27",2015,58.2704799333333,-168.769104346667,11259435.3504899,59.4642155280461,-171.593867367059,59.4642155280461,-171.593867367059,"'15"
"28",2016,58.26996312,-168.768732346667,13853320.5448797,60.4350230037529,-172.648944732671,60.4350230037529,-172.648944732671,"'16"
"29",2017,58.2708536133333,-168.7703576,21383716.7039853,60.5062605580257,-173.123621025353,60.5062605580257,-173.123621025353,"'17"
"30",2018,58.2707942266667,-168.77102208,30681807.086174,60.2529446356438,-172.681235728112,60.2529446356438,-172.681235728112,"'18"
"31",2019,58.2714983466667,-168.767419613333,11627315.395099,60.0696284352998,-172.602289307238,60.0696284352998,-172.602289307238,"'19"
"32",2021,58.2691534533333,-168.769444373333,2836306.78969397,59.7460792108318,-173.172210193061,59.7460792108318,-173.172210193061,"'21"
"33",2022,58.2708024266667,-168.769799066667,5507474.21229308,60.7430955823961,-173.259946167335,60.7430955823961,-173.259946167335,"'22"
"34",2023,58.2716784666667,-168.77248912,5650274.17985812,59.9998041578189,-172.036108716298,59.9998041578189,-172.036108716298,"'23"
"35",2024,58.2665983524355,-168.599877106017,17032296.4092928,59.3037394808995,-171.152405211165,59.3037394808995,-171.152405211165,"'24"
"36",2025,58.2672136246418,-168.601840243553,17990704.6366034,59.3304805946834,-171.426595201905,59.3304805946834,-171.426595201905,"'25"
