"year","name","value"
1980,"Jan-Feb ice",0.244228837518252
1980,"Mar-Apr ice",0.229907482241457
1981,"Jan-Feb ice",0.219768198834838
1981,"Mar-Apr ice",0.185096404734283
1982,"Jan-Feb ice",0.162196859816603
1982,"Mar-Apr ice",0.187344884821219
1983,"Jan-Feb ice",0.215785622110172
1983,"Mar-Apr ice",0.216515362634054
1984,"Jan-Feb ice",0.17893462053047
1984,"Mar-Apr ice",0.263569901709142
1985,"Jan-Feb ice",0.091741402500042
1985,"Mar-Apr ice",0.23886332281422
1986,"Jan-Feb ice",0.162142295304738
1986,"Mar-Apr ice",0.210950513403347
1987,"Jan-Feb ice",0.166964554504985
1987,"Mar-Apr ice",0.194822694510061
1988,"Jan-Feb ice",0.177783124454552
1988,"Mar-Apr ice",0.266425930723852
1989,"Jan-Feb ice",0.179914175785446
1989,"Mar-Apr ice",0.11946457351701
1990,"Jan-Feb ice",0.237499783656267
1990,"Mar-Apr ice",0.24375498573967
1991,"Jan-Feb ice",0.251889293764895
1991,"Mar-Apr ice",0.266047224296791
1992,"Jan-Feb ice",0.223019019105381
1992,"Mar-Apr ice",0.281319256218112
1993,"Jan-Feb ice",0.200358635628902
1993,"Mar-Apr ice",0.209746416298839
1994,"Jan-Feb ice",0.174886327757871
1994,"Mar-Apr ice",0.264756130788047
1995,"Jan-Feb ice",0.252125275608804
1995,"Mar-Apr ice",0.278287539702353
1996,"Jan-Feb ice",0.171095152956331
1996,"Mar-Apr ice",0.147728826766624
1997,"Jan-Feb ice",0.200066358523261
1997,"Mar-Apr ice",0.229499995542008
1998,"Jan-Feb ice",0.272288049355741
1998,"Mar-Apr ice",0.205683566215343
1999,"Jan-Feb ice",0.229419620567182
1999,"Mar-Apr ice",0.284145544525376
2000,"Jan-Feb ice",0.265979056353216
2000,"Mar-Apr ice",0.200836548769384
2001,"Jan-Feb ice",0.096180326828511
2001,"Mar-Apr ice",0.1599137876779
2002,"Jan-Feb ice",0.282823976051667
2002,"Mar-Apr ice",0.172926994348315
2003,"Jan-Feb ice",0.162110777956331
2003,"Mar-Apr ice",0.175010738516212
2004,"Jan-Feb ice",0.161344022986456
2004,"Mar-Apr ice",0.190072766231287
2005,"Jan-Feb ice",0.146750628576883
2005,"Mar-Apr ice",0.196215712140633
2006,"Jan-Feb ice",0.251428239045927
2006,"Mar-Apr ice",0.217820547986876
2007,"Jan-Feb ice",0.19303989103094
2007,"Mar-Apr ice",0.241507633262495
2008,"Jan-Feb ice",0.222085253329333
2008,"Mar-Apr ice",0.313205824707556
2009,"Jan-Feb ice",0.261454007551314
2009,"Mar-Apr ice",0.271963563257334
2010,"Jan-Feb ice",0.228091273323166
2010,"Mar-Apr ice",0.299057668978879
2011,"Jan-Feb ice",0.190197812909086
2011,"Mar-Apr ice",0.197835753017798
2012,"Jan-Feb ice",0.272949143357487
2012,"Mar-Apr ice",0.333659806953209
2013,"Jan-Feb ice",0.244425657868513
2013,"Mar-Apr ice",0.283124369325238
2014,"Jan-Feb ice",0.147984076314531
2014,"Mar-Apr ice",0.181025454872533
2015,"Jan-Feb ice",0.105383290947444
2015,"Mar-Apr ice",0.166830162433497
2016,"Jan-Feb ice",0.117910504366734
2016,"Mar-Apr ice",0.153907859466258
2017,"Jan-Feb ice",0.11851149414587
2017,"Mar-Apr ice",0.161961104150233
2018,"Jan-Feb ice",0.0578905640304025
2018,"Mar-Apr ice",0.0432768693671959
2019,"Jan-Feb ice",0.104658644335098
2019,"Mar-Apr ice",0.0375815976447117
2020,"Jan-Feb ice",0.181389633490115
2020,"Mar-Apr ice",0.168964822771214
2021,"Jan-Feb ice",0.150145205980213
2021,"Mar-Apr ice",0.181714873513653
2022,"Jan-Feb ice",0.224326105660706
2022,"Mar-Apr ice",0.19178345513267
2023,"Jan-Feb ice",0.180593354156527
2023,"Mar-Apr ice",0.19237125449995
2024,"Jan-Feb ice",0.172786498761203
2024,"Mar-Apr ice",0.217586214944448
2025,"Jan-Feb ice",0.121644495586063
2025,"Mar-Apr ice",0.186310014407181
